Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Штуцер соединительный (уголок) кл.19 с гайкой (AGROIMPULS);002051     ;Склад магазин Мергунов;1;141.74
Штуцер соединительный (уголок) кл.36 с гайкой (AGROIMPULS);002052     ;Склад магазин Мергунов;1;283.26
Штуцер соединительный (уголок) кл.41 с гайкой (AGROIMPULS);002053     ;Склад магазин Мергунов;1;342.49
Корпус (плита) гидропривода Енисей-1200НМ (под кардан);002054     ;Склад магазин Мергунов;1;19042.51
Трубка топливная ЯМЗ-240;002061     ;Склад магазин Мергунов;1;670.91
Козырек солнцезащитный К-700/701;002064     ;Склад магазин Мергунов;1;446.43
Насадок К-701 ;002065     ;Склад магазин Мергунов;1;924.11
Палец компрессора ЗИЛ-130/К-700 ;002066     ;Склад магазин Мергунов;4;357.14
Сетка радиатора отопителя кабины К-700 700А.81.00.044;002068     ;Склад магазин Мергунов;1;267.86
Корпус упорного подшипника ЯМЗ-240 (ОАО Автодизель-ЯМЗ);002073     ;Склад магазин Мергунов;1;2535.41
Полумуфта выпускн. коллектора (внутр.) ЯМЗ-240 (ОАО Автодизель-ЯМЗ);002074     ;Склад магазин Мергунов;1;835.71
Рукав соединит. впускных колл-в ЯМЗ-240 (рез.) (ОАО Автодизель-ЯМЗ);002077     ;Склад магазин Мергунов;1;400.61
Шайба пружины клапана ЯМЗ 236-1007025 (ОАО Автодизель-ЯМЗ)  ;002079     ;Склад магазин Мергунов;1;67.63
Эксцентрик ТННД ЯМЗ-240 (ОАО Автодизель-ЯМЗ)  ;002080     ;Склад магазин Мергунов;1;446.43
Кольцо стопорное К-700/701 В110 наружн.;002082     ;Склад магазин Мергунов;7;1101.5
Кольцо стопорное К-700/701 В90 внутрен. ;002083     ;Склад магазин Мергунов;10;1288.26
Манжета  КПП К-700/701 700.17.01.324-2;002084     ;Склад магазин Мергунов;10;446.43
Крышка (корпус) топл. фильтра груб оч. ЯМЗ-240 (ОАО Автодизель-ЯМЗ) ;002091     ;Склад магазин Мергунов;1;2743.9
Шестерня ведущая привода ТНВД ЯМЗ-236/238/7511.1029116-10 (ОАО Автодизель-ЯМЗ) ;002092     ;Склад магазин Мергунов;1;6525.09
Реле поворотов КамАЗ-Евро (Энергомаш);002106     ;Склад магазин Мергунов;1;1556.25
Регулятор напряжения интегр. 24в (Энергомаш) ;002107     ;Склад магазин Мергунов;2;610.71
Реле втягив-е стартера ЗИЛ (БАТЭ);002111     ;Склад магазин Мергунов;1;5386.61
Домкрат гидравлический подкатной  2т.,в кейсе, 130-300 мм (ООО ПРАМО);013159     ;Склад магазин Мергунов;1;5882.39
Диск сцепления ведомый ЯМЗ-238ДЕ2/7511 (1-но диск сц.) (ОАО Автодизель-ЯМЗ) ;007618     ;Склад магазин Мергунов;1;25859.51
Фильтр топливный КамАЗ (Промбизнес) PD-003;002134     ;Склад магазин Мергунов;1;82.36
Болт (штуцер) топливный ЯМЗ М14*1,5*30 (ОАО Автодизель-ЯМЗ);002141     ;Склад магазин Мергунов;1;75.43
Шпонка сегментная 6х12 ЯМЗ (ОАО Автодизель-ЯМЗ);002145     ;Склад магазин Мергунов;1;60.82
Шпонка распредвала ЯМЗ-240 (ОАО Автодизель-ЯМЗ);002146     ;Склад магазин Мергунов;1;61.22
Шпонка призматическая коленвала ЯМЗ-240 (ОАО Автодизель-ЯМЗ);002147     ;Склад магазин Мергунов;1;85.11
Валик водяного насоса ЯМЗ-238НД3/5/Д нов. обр.;002149     ;Склад магазин Мергунов;1;708.62
Лапа Bourgoult (Бурго) 310 мм. под конус крепл. 65Г (Магнитогорск);002156     ;Склад магазин Мергунов;1;1940.64
Лапа СКС (СТС-6-12) 300мм. (Рубцовск);002163     ;Склад магазин Мергунов;1;454.97
Привод стартера МТЗ 6-ти шлиц. 24.3708.600-01(бендикс) (Самара);002183     ;Склад магазин Мергунов;1;2126.75
Пружина клапана наружная ЯМЗ 236-1007020 (ОАО Автодизель-ЯМЗ);002185     ;Склад магазин Мергунов;1;186.76
Картера КПП К-700/701 (РЕМ. К-Т.);002187     ;Склад магазин Мергунов;4;932.15
Фильтр топливный ЯМЗ-536 (металл. корпус с резьбой) DIFA 6104 (ОАО Автодизель-ЯМЗ);012299     ;Склад магазин Мергунов;1;2685.9
Шестерня ведомая конечн. передачи задн. моста МТЗ-80/82 (МЗШ);002204     ;Склад магазин Мергунов;1;65378.34
950 - 11х10 Ремень гидромуфты ЯМЗ-238НД5 (Ярославль);002212     ;Склад магазин Мергунов;2;629.15
Диск сцепления ведомый передн. МАЗ, КрАЗ (ОАО Автодизель-ЯМЗ);002214     ;Склад магазин Мергунов;1;7335.72
Винт коромысла Д-144 Т-40, Т-25  ;002232     ;Склад магазин Мергунов;9;1127.03
Вилка выключения муфты сцепл. А-41/Д-440 ДТ-75;002238     ;Склад магазин Мергунов;1;1487.82
Упор подшипника выжимн. А-01 Т-4А АМЗ, г.Барнаул;002239     ;Склад магазин Мергунов;1;3065.08
Привод гидронасоса НШ-32/50 Т-4А/ДТ/Д-442   ;002244     ;Склад магазин Мергунов;1;11160.71
Ось толкателей А-41/Д-440;002255     ;Склад магазин Мергунов;1;1632.12
Кольцо вала сцепления Д-442;002256     ;Склад магазин Мергунов;1;40.91
Шайба ЯМЗ /ф отв. 6мм/ (ОАО Автодизель-ЯМЗ);00000070225;Склад магазин Мергунов;1;9.54
Кольцо стопорное К-700/701 1В80 наружн.;002264     ;Склад магазин Мергунов;1;268.2
Траверса ГБЦ ЯМЗ-240Р (ОАО Автодизель-ЯМЗ);002267     ;Склад магазин Мергунов;1;1075.89
Болт башмака М16х55х1,5 потай+квадрат /Россия/;002297     ;Склад магазин Мергунов;1;239.76
Болт башмака М16х75х1,5 потай+квадрат /Россия/;002298     ;Склад магазин Мергунов;1;257.05
Шарнир мех-ма подъема сенокосилки /Россия/ ;002302     ;Склад магазин Мергунов;1;3585.67
Крышка роторной сенокосилки /Россия/;002305     ;Склад магазин Мергунов;1;3322.31
Палец граблей -ворошилок ГВВ-6,0 /Россия/;002307     ;Склад магазин Мергунов;1;174.31
